id,location_id,sales_id,features_id,propertyType,yearBuilt,assessorID,legalDescription,subdivision,zoning,hoa,propertyTaxes,ownerOccupied
"9355-Vista,-Bonita,-Cypress,-CA-90630",11,6,11,Single Family,1968.0,244-332-34,N TR 6222 BLK LOT 34,6222,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 4583}}",1.0
"7126-S-Ellis-Ave,---2,-Chicago,-IL-60619",12,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"2720-Queen-City-Ave,-Apt-14,-Cincinnati,-OH-45238",13,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"17707-W-63rd-Pl,-Arvada,-CO-80403",14,7,13,Single Family,2001.0,30-112-07-017,SECTION 11 TOWNSHIP 03 RANGE 70 QTR NW SUBDIVISIONCD 244050 SUBDIVISIONNAME FIELDSTONE FLG 1 BLOCK 001 LOT 0016 SIZE: 10639 T,FIELDSTONE FLG 1,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 4217}, '2023': {'year': 2023, 'total': 5371}, '2024': {'year': 2024, 'total': 5364}}",1.0
"622-Essex-Forest-Dr,-Cary,-NC-27518",15,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"75-N-Portage-Path,-Apt-603,-Akron,-OH-44303",16,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"1808-S-Broadway-Ave,-Boise,-ID-83706",17,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"31433-Chemin-Chevalier,-Temecula,-CA-92591",18,8,14,Single Family,2001.0,953-482-030,LOT 17 MB 281/054 TR 23100-6,PROVIDENT FINANCIAL CORP,Unknown,Unknown,"{'2018': {'year': 2018, 'total': 4954}, '2022': {'year': 2022, 'total': 5304}, '2023': {'year': 2023, 'total': 5429}, '2024': {'year': 2024, 'total': 5476}}",1.0
"706-Castle-Rd,-Colorado-Springs,-CO-80904",19,9,15,Single Family,1956.0,7402310009,"LOT 5, EX NLY 1 FT BLK 1 PLEASANT VALLEY SUB 4 COLO SPGS",PLEASANT VALLEY SUB NO 4 COLO SPGS,R1-6,Unknown,"{'2023': {'year': 2023, 'total': 1425}}",1.0
"70-Hancock-St,-Apt-3G,-Staten-Island,-NY-10305",20,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"308-19th-St-NW,-Rochester,-MN-55901",21,10,16,Single Family,1978.0,74.26.42.016168,SECT-26 TWP-107 RANGE-014 NORTHERN ADD OUTLOTS OUTLOT 5 W58FT E315FT N233FT OF TH PT OUTLOT 5 W OF RD & W57FT E372FT N233FT O,NORTHERN ADD OUTLOTS,Unknown,Unknown,"{'2021': {'year': 2021, 'total': 4246}, '2022': {'year': 2022, 'total': 4502}, '2023': {'year': 2023, 'total': 4564}}",1.0
"3500-Hillridge-Dr,-Apt-407,-Plano,-TX-75074",22,0,17,Apartment,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"25215-Auburn-Terrace-Dr,-Spring,-TX-77389",23,11,18,Single Family,2007.0,1287110010004,LT 4 BLK 1 AUBURN LAKES PINES SEC 2,AUBURN LAKES PINES,Unknown,{'fee': 63},"{'2020': {'year': 2020, 'total': 6493}, '2021': {'year': 2021, 'total': 6453}, '2022': {'year': 2022, 'total': 3882}, '2023': {'year': 2023, 'total': 3882}}",1.0
"23679-Homer-Valley-Rd,-Homer,-MN-55987",24,0,19,Single Family,1900.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"212-S-Main-St,-Paullina,-IA-51046",25,0,20,Single Family,1903.0,0000134200,ORIGINAL TOWN LOTS 8-9-10 BLK 13,PAULLINA,Unknown,Unknown,"{'2021': {'year': 2021, 'total': 1062}, '2022': {'year': 2022, 'total': 1190}}",1.0
"100-12th-St,-Saint-Simons-Island,-GA-31522",26,12,21,Single Family,1986.0,04-04717,124 ST SIMONS BEACH,S014-00,RR,Unknown,"{'2022': {'year': 2022, 'total': 12851}, '2024': {'year': 2024, 'total': 19783}}",1.0
"285-Essex-St,-Lawrence,-MA-01840",27,0,22,Apartment,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"11668-3-1-2-Mile-Rd,-Battle-Creek,-MI-49015",28,13,23,Single Family,1971.0,14-030-042-01,LEROY TWP. SEC.3 T3S R8W PART NE1/4 COM 764.56 FT N OF SW COR THEREOF N 292.55 FT E 892.10 FT S01DEG 58'41E 292.70 FT W 902.2,Unknown,LDR,Unknown,"{'2018': {'year': 2018, 'total': 2303}, '2022': {'year': 2022, 'total': 2677}}",0.0
"2011-Great-Hills-Dr-NE,-Huntsville,-AL-35811",29,0,24,Single Family,1997.0,13-04-19-4-001-009.000,LOT 14 BLK 1 SADDLETREE S/D,SADDLETREE S/D,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 2875}}",1.0
"561-Schaefer-Ave,-Oradell,-NJ-07649",30,14,25,Single Family,1894.0,44  00218-0000-00006,LOT:6 BLK:218 DIST:44 CITY/MUNI/TWP:ORADELL BORO,NEW MILFORD EIGHTS LAND IMPROV,Unknown,Unknown,"{'2021': {'year': 2021, 'total': 15143}, '2022': {'year': 2022, 'total': 15196}, '2023': {'year': 2023, 'total': 15848}}",1.0
"2704-Calumet-Farm-Ln,-Snellville,-GA-30039",31,15,26,Single Family,1997.0,6-037 -243,L16 BB HORSESHOE CREEK #1,HORSESHOE CREEK,R100C-SINGLE FAM RES,Unknown,"{'2021': {'year': 2021, 'total': 2831}, '2023': {'year': 2023, 'total': 4109}}",1.0
"6850-Stonehurst-Dr,-Huber-Heights,-OH-45424",32,16,27,Single Family,1970.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"12841-Hoyne-Ave,-Apt-4,-Blue-Island,-IL-60406",33,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"3214-Brassfield-Rd,-Apt-5201,-Greensboro,-NC-27410",34,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"5078-Beech-St,-San-Diego,-CA-92102",35,0,28,Single Family,1954.0,542-402-10-00,TR 2959 LOT 48*,CHESTER SQUARE,R-2:MINOR MULTIPLE,Unknown,"{'2023': {'year': 2023, 'total': 873}, '2024': {'year': 2024, 'total': 893}}",0.0
"1209-W-Arthur-Ave,-Apt-810,-Chicago,-IL-60626",36,0,29,Apartment,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"238-Delaware-Ave,-Apt-44,-Nampa,-ID-83651",37,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"1195-Edison-Heights-Rd,-Sunbury,-PA-17801",38,0,30,Single Family,2003.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"829-Camino-Rd,-Apt-205,-Delray-Beach,-FL-33445",39,0,31,Condo,1980.0,12434619180112050,LAGO DEL REY COND 11 UNIT 205-C,LAGO DEL REY CONDO 01-12 & 14,Unknown,Unknown,"{'2017': {'year': 2017, 'total': 1650}}",0.0
"104-Palmwood-Dr,-Pass-Christian,-MS-39571",40,17,32,Single Family,1985.0,0212O-01-002.000,LOT 8 SQUARE 33 TIMBER RIDGE SHORES UNIT 1-A (SLIP),TIMBER RIDGE SHORES UNIT NO 1,Unknown,{'fee': 27},"{'2023': {'year': 2023, 'total': 4315}}",0.0
"1201-W-South-St,-Apt-209,-Alvin,-TX-77511",41,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"145-Cottontail-Dr,-Salisbury,-NC-28146",42,18,33,Single Family,2004.0,619B148,.55AC L2 BEAGLE CLUB COMMONS PH ONE,BEAGLE CLUB COMMONS PH ONE,RA,Unknown,"{'2020': {'year': 2020, 'total': 967}, '2023': {'year': 2023, 'total': 1345}}",1.0
"1480-Bush-Way,-Shelbyville,-IN-46176",43,0,34,Single Family,2010.0,731109100205000002,TWIN LAKES ESTATES SEC 1 LOT 35 9 12 7 .44 AC,TWIN LAKES ESTATES,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 53}}",1.0
"2704-Spear-St,-North-Las-Vegas,-NV-89030",44,19,35,Single Family,1954.0,139-14-711-150,NORTH MAIN REPLAT PLAT BOOK 3 PAGE 87 LOT 11 BLOCK 25,NORTH MAIN REPLAT,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 557}, '2021': {'year': 2021, 'total': 601}, '2023': {'year': 2023, 'total': 609}}",1.0
"737-Garrett-Dr,-Columbus,-OH-43214",45,20,36,Single Family,1961.0,010-116319,GARRETT DR BEAUTYVIEW LOT14,BEAUTY VIEW ADD,Unknown,Unknown,"{'2019': {'year': 2019, 'total': 5503}, '2022': {'year': 2022, 'total': 5902}, '2023': {'year': 2023, 'total': 6131}}",1.0
"6545-Carriage-Ln,-Stone-Mountain,-GA-30087",46,21,37,Single Family,1988.0,16 128 03 070,CITY/MUNI/TWP:UNINCORPORATED,CARRIAGE POINT PH 01,RCH,Unknown,"{'2019': {'year': 2019, 'total': 461}, '2022': {'year': 2022, 'total': 4037}, '2023': {'year': 2023, 'total': 4852}, '2024': {'year': 2024, 'total': 5115}}",0.0
"9351-Sleepy-Hollow-Ln,-Jonesboro,-GA-30238",47,22,38,Single Family,1998.0,05-214B- G-015,LOT:100 CITY/MUNI/TWP:UNINCORPORATED CNTY W/FIRE SUBD:PINE TRACE @ PEBBLE CREEK,PINE TRACE @ PEBBLE CREEK,RM,Unknown,"{'2022': {'year': 2022, 'total': 2774}, '2023': {'year': 2023, 'total': 3286}, '2024': {'year': 2024, 'total': 3617}}",0.0
"29924-Loy-Dr,-Menifee,-CA-92585",48,23,39,Single Family,2015.0,333-600-025,.17 ACRES M/L IN LOT 25 MB 429/072 TR 34180,Unknown,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 8254}, '2024': {'year': 2024, 'total': 8750}}",1.0
"4185-Forest-Ct,-Stone-Mountain,-GA-30083",49,24,40,Single Family,1966.0,15 195 08 018,CITY/MUNI/TWP:UNINCORPORATED,INDIAN FOREST ESTATES,R75,Unknown,"{'2020': {'year': 2020, 'total': 1490}, '2022': {'year': 2022, 'total': 2053}, '2023': {'year': 2023, 'total': 2013}, '2024': {'year': 2024, 'total': 2713}}",1.0
"7117-S-University-Ave,-Chicago,-IL-60619",50,25,41,Single Family,2007.0,20-26-106-044,DIST:70 CITY/MUNI/TWP:HYDE PARK,Unknown,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 3343}, '2021': {'year': 2021, 'total': 2749}, '2022': {'year': 2022, 'total': 2793}, '2023': {'year': 2023, 'total': 2898}}",1.0
"401-Dunbarton,-Georgetown,-DE-19947",51,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"9615-Yellowstone-St,-Detroit,-MI-48204",52,0,42,Multi-Family,1923.0,14012752.,W YELLOWSTONE S 15 FT 15 16 EXC ALLEY AS OP BLK 17 RAVENSWOOD SUB L10 P81 PLATS W C R 14/179 45 X 102,RAVENSWOOD SUB,R2,Unknown,Unknown,1.0
"3585-45th-St-SW,-Birmingham,-AL-35221",53,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"142-Siebert-Rd,-Pittsburgh,-PA-15237",54,26,43,Single Family,1918.0,353-A-76,LOT 96.40XAVG252.78 SIEBERT PUBLIC RD 2 STY FRA HSE & ATT GAR #142,Unknown,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 3372}, '2023': {'year': 2023, 'total': 3456}}",1.0
"7107-Timber-Edge-Ln,-Humble,-TX-77346",55,27,44,Single Family,2002.0,1233850050019,LT 19 BLK 5 ATASCA WOODS SEC 4 AMEND,ATASCA WOODS AMEND,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 1363}, '2021': {'year': 2021, 'total': 4469}, '2022': {'year': 2022, 'total': 1600}, '2023': {'year': 2023, 'total': 1600}}",1.0
"15106-Winning-Colors-Dr,-Noblesville,-IN-46060",56,28,45,Single Family,2004.0,29-11-16-002-025.000-013,"ACREAGE .23, SECTION 16, TOWNSHIP 18, RANGE 5, WATERMAN FARMS, SECTION 1B, LOT 30, IRREGULAR SHAPE",WATERMAN FARMS,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 2471}, '2021': {'year': 2021, 'total': 2566}, '2022': {'year': 2022, 'total': 3101}, '2023': {'year': 2023, 'total': 3435}}",1.0
"19284-Pine-Glen-Dr,-Fort-Myers,-FL-33967",57,29,46,Single Family,1992.0,22-46-25-05-00001.0020,PINE GLEN AT THREE OAKS U-1 BLK 1 PB 42 PG 52 LOT 2,PINE RUN/PINE GLEN/CYPRESS CHASE,RS-1,Unknown,"{'2019': {'year': 2019, 'total': 2281}, '2022': {'year': 2022, 'total': 2367}, '2023': {'year': 2023, 'total': 4781}, '2024': {'year': 2024, 'total': 4822}}",1.0
"11410-Brookshire-Ave,-Apt-218,-Downey,-CA-90241",58,30,47,Condo,1991.0,6255-009-060,TR=47197 LOT 1 CONDO UNIT 218,47197,DOM1,Unknown,"{'2020': {'year': 2020, 'total': 2434}, '2023': {'year': 2023, 'total': 2677}}",1.0
"2701-Maple-Dr,-Starkville,-MS-39759",59,31,48,Single Family,1968.0,003604,E 82' OF LOT 234 GREENOAKS SUB #7 2016/3779 2016/5602 2018/18602 MAP 102E DB/PG 660/128 2012/1938,GREENOAKS SUB,Unknown,Unknown,"{'2019': {'year': 2019, 'total': 1304}, '2023': {'year': 2023, 'total': 1421}}",1.0
"1007-Sw-197th-Ave,-Beaverton,-OR-97003",60,32,49,Single Family,2000.0,1S201CA-16400,"2000-005 PARTITION PLAT, LOT 2, ACRES 0.16",2000-005 PARTITION PLAT,R-6,Unknown,"{'2013': {'year': 2013, 'total': 2975}, '2014': {'year': 2014, 'total': 3035}, '2015': {'year': 2015, 'total': 3088}, '2016': {'year': 2016, 'total': 3220}, '2017': {'year': 2017, 'total': 3305}, '2018': {'year': 2018, 'total': 3434}, '2019': {'year': 2019, 'total': 3591}, '2020': {'year': 2020, 'total': 3707}, '2021': {'year': 2021, 'total': 3786}, '2022': {'year': 2022, 'total': 3858}, '2023': {'year': 2023, 'total': 4004}, '2024': {'year': 2024, 'total': 4120}}",1.0
"215-Westbend-Rdg,-Lafayette,-LA-70508",61,33,50,Single Family,1950.0,6030833,SEC 13 T10S R4E (200X186.2X200X190),Unknown,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 592}}",1.0
"155-Gaddy-Ct,-Sumter,-SC-29150",62,34,51,Single Family,1967.0,224-06-03-003,LOT 1 1.00 AC,Unknown,AC,Unknown,"{'2019': {'year': 2019, 'total': 388}, '2020': {'year': 2020, 'total': 398}, '2023': {'year': 2023, 'total': 415}}",1.0
"W9168-Bluewaters-Pass,-Cambridge,-WI-53523",63,35,52,Single Family,0.0,022-0613-0534-039,"LOT 15, 1ST ADD TO PINE RIDGE.",ADD TO PINE RIDGE,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 6502}}",1.0
"2717-S-Garfield-St,-Denver,-CO-80210",64,36,53,Single Family,1951.0,05361-04-014-000,N 41FT OF L 19 & S 22FT OF L 20 BLK 2 WELLSHIRE HGTS,WELLSHIRE HEIGHTS,S-SU-D,Unknown,"{'2023': {'year': 2023, 'total': 2932}, '2024': {'year': 2024, 'total': 2997}}",1.0
"233-Marie-Ave,-Manteca,-CA-95336",65,37,54,Single Family,1959.0,223-330-170-000,CITY/MUNI/TWP:MANTECA SUBD:RAYMUS MANOR UNIT #5 MAP REF:MB 223 PG 33,RAYMUS MANOR UNIT #5,98,Unknown,"{'2023': {'year': 2023, 'total': 5661}, '2024': {'year': 2024, 'total': 5731}}",1.0
"1005-Macon-Hwy,-Apt-1227,-Athens,-GA-30606",66,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"522-Rideout-Way,-Marysville,-CA-95901",67,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"7587-Sw-208th-Pl,-Beaverton,-OR-97007",68,38,55,Single Family,1994.0,1S223DD-00100,"TYLER'S GREEN, LOT 1, ACRES 0.15",TYLER'S GREEN,R-9,Unknown,"{'2022': {'year': 2022, 'total': 5232}}",1.0
"10612-Wren-Grv,-Gulfport,-MS-39503",69,39,56,Single Family,2021.0,0708N-01-001.026,LOT 84 LANDON GREEN PH 3,LANDON GREEN SUB PH 3,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 1950}}",1.0
"4725-Ansley-Ln,-Cumming,-GA-30040",70,40,57,Single Family,1995.0,033  129,3-1 1147 LT 85 PH 2 SEC 2 SWEETBRIAR,SWEETBRIAR,R2R,{'fee': 56},"{'2022': {'year': 2022, 'total': 3157}, '2023': {'year': 2023, 'total': 3170}}",1.0
"649-W-Cholla-Dr,-Casa-Grande,-AZ-85122",71,41,58,Manufactured,1972.0,504-17-1030,EMERALD TERRACE LOT 22,EMERALD TERRACE,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 212}, '2021': {'year': 2021, 'total': 224}, '2022': {'year': 2022, 'total': 214}, '2023': {'year': 2023, 'total': 217}, '2024': {'year': 2024, 'total': 213}}",0.0
"15-Hart-St,-Warminster,-PA-18974",72,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"1451-N-Glenhurst-St,-Wichita,-KS-67212",73,0,59,Single Family,1974.0,087-132-09-0-43-05-008.00,LOT 8 BLOCK H WESTRIDGE VILLAGE ADD.,SUBD NO.: D05,Unknown,Unknown,"{'2019': {'year': 2019, 'total': 1469}, '2023': {'year': 2023, 'total': 1828}}",1.0
"609-Clearlake-Rd,-Cocoa,-FL-32922",74,42,60,Single Family,1958.0,24-36-30-76-0000A.0-0003.00,ATKINSONS PLAT NO 2 LOT 3 & N 102 FT OF LOT 4 EX W 74 FT & HWY R/W BLK A,ATKINSONS PLAT NO 2,BU2,Unknown,"{'2023': {'year': 2023, 'total': 1218}}",1.0
"2310-Yvonnes-Way,-Dunn-Loring,-VA-22027",75,43,61,Single Family,1994.0,039-4-37-0015-A,CHATHAM SQUARE LT 15A,CHATHAM SQUARE,PDH-4(RESIDENTIAL 4 DU/AC,Unknown,"{'2023': {'year': 2023, 'total': 12830}}",1.0
"28315-190th-Ave-SE,-Kent,-WA-98042",76,44,62,Single Family,1983.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"208-Bedford-Rd,-Apt-362,-Bedford,-TX-76022",77,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"12802-N-111th-Ave,-Youngtown,-AZ-85363",78,45,63,Single Family,1961.0,200-85-020,YOUNGTOWN PLAT 5,YOUNGTOWN PLAT 5,M-M,Unknown,"{'2022': {'year': 2022, 'total': 637}, '2023': {'year': 2023, 'total': 660}}",1.0
"88-Maple-Ln,-Mount-Arlington,-NJ-07856",79,46,64,Condo,1995.0,26  00061-0000-00023-  10-C3013,LOT:23.10 BLK:61 DIST:26 CITY/MUNI/TWP:MOUNT ARLINGTON BORO,Unknown,Unknown,Unknown,"{'2021': {'year': 2021, 'total': 5267}, '2022': {'year': 2022, 'total': 5348}}",1.0
"182-Lake-Ave,-Apt-1,-Saratoga-Springs,-NY-12866",80,0,65,Apartment,1962.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"11221-Quebec-Ln-N,-Champlin,-MN-55316",81,47,66,Single Family,1986.0,32-120-21-32-0094,LOT 022 BLOCK 008 LUNDS ADDN,LUNDS ADD,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 2706}}",1.0
"NW-52nd-Pl,-Bell,-FL-32619",82,0,67,Land,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"11352-Foster-Rd,-Los-Alamitos,-CA-90720",83,48,68,Single Family,1959.0,086-024-03,N TR 1680 BLK LOT 537,1680,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 13460}}",1.0
"254-Outlook-Dr-SW,-Cedar-Rapids,-IA-52404",84,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"46670-Jackson-St,-Indio,-CA-92201",85,49,69,Single Family,1964.0,612-050-006,.19 ACRES NET IN LOT 6 MB 047/022 TR 2618,2618,R1,Unknown,"{'2018': {'year': 2018, 'total': 1672}, '2022': {'year': 2022, 'total': 2039}, '2023': {'year': 2023, 'total': 2169}, '2024': {'year': 2024, 'total': 2316}}",1.0
"1104-Section-Line-Rd,-Union-City,-TN-38261",86,0,70,Single Family,1961.0,066058F C 00100,HIGHLAND HEIGHTS 46,HIGHLAND HEIGHTS,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 241}}",1.0
"3037-Oxford-Dr,-Mount-Juliet,-TN-37122",87,50,71,Single Family,2021.0,076F H 03000,LOT:629 DIST:25 SUBD:KELSEY GLEN PHASE 6 MAP REF:076F,KELSEY GLEN PHASE 6,Unknown,Unknown,"{'2022': {'year': 2022, 'total': 2502}, '2023': {'year': 2023, 'total': 2502}}",1.0
"15015-Dawnbrook-Dr,-Houston,-TX-77068",88,51,72,Single Family,1993.0,1149780110035,LT 35 BLK 11 OLDE OAKS SEC 3,OLDE OAKS,Unknown,Unknown,"{'2020': {'year': 2020, 'total': 1482}, '2022': {'year': 2022, 'total': 1767}, '2023': {'year': 2023, 'total': 1767}}",0.0
"919-R-St-NW,-Unit-2,-Washington,-DC-20001",89,52,73,Condo,1890.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"152-Rebecca-Hammond-Ct,-Brooklyn-Park,-MD-21225",90,53,74,Townhouse,2020.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"PO-Box-407,-Pennington,-NJ-08534",91,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"7902-Ashland-Ave,-Manassas,-VA-20109",92,54,75,Single Family,1963.0,7697-60-9772,WEST GATE OF LOMOND L 48-A-SEC 1-B,WEST GATE OF LOMOND,SUBURBAN RES (4/ACRE),Unknown,"{'2022': {'year': 2022, 'total': 4718}, '2024': {'year': 2024, 'total': 4521}}",1.0
"528-Egle-St,-Apt-3,-Morgan-City,-LA-70380",93,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"778-Regency-Resv-Cir,-Apt-1604,-Naples,-FL-34119",94,0,76,Condo,2005.0,69080001280,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"373-Montauk-Hwy,-East-Moriches,-NY-11940",95,55,77,Multi-Family,1991.0,0200-795.00-01.00-019.004,N E MORICHES RLTY E MONTAUK HWY S BERKERY S#34-46 W E MORICHES RLTY,EAST MORICHES,Unknown,Unknown,Unknown,0.0
"2827-E-Pinchot-Ave,-Phoenix,-AZ-85016",96,0,78,Condo,0.0,119-11-143,HOMESTEAD SQUARE MCR 624-49,HOMESTEAD SQUARE,R-6,Unknown,Unknown,1.0
"2850-Glen-Haven-Dr,-Arnold,-MO-63010",97,56,79,Single Family,1978.0,02-7.0-36.0-4-001-017.,TAMARACK 2 LOT 181,TAMARACK 2,R07,Unknown,"{'2020': {'year': 2020, 'total': 1183}, '2022': {'year': 2022, 'total': 1254}, '2023': {'year': 2023, 'total': 1256}}",1.0
"810-Valley-Way,-Hopkins,-MN-55305",98,57,80,Single Family,1950.0,13-117-22-44-0038,005 KNOLLWOOD COM AT A PT IN THE ELY LINE OF LOT 11 DIS 56 1/10 FT SLY ALONG SAID LINE FROM THE NE COR OF LOT 11 TH NLY AND,KNOLLWOOD,Unknown,Unknown,"{'2023': {'year': 2023, 'total': 11928}}",1.0
"1228-Balboa-Ct,-Apt-14,-Sunnyvale,-CA-94086",99,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"1204-N-10th-Pl,-Apt-2355,-Renton,-WA-98057",100,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
"170-Mills-Ln,-New-Albany,-IN-47150",101,0,12,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
